
Oct 10 18:39:06 +0000 OX-56195b4a1ec77 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4a2b321 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4a2bdf0 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a32326 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4a3117c [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a32668 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a32326 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a3ec2a [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4a3da45 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a3ec2a [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a42cf2 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4a4085d [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a4009b [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a45d18 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a49392 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a4b8c6 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4a51d55 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4a51d55 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a55a99 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a58262 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a58315 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a59bb2 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4a5c945 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:06 +0000 OX-56195b4a5c7fd [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4a5c6e3 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a5e12a [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:06 +0000 OX-56195b4a60d45 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:06 +0000 OX-56195b4a5f4b7 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
